Country,Human Development Index (HDI) Value,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years) 2019,Gross national income (GNI) per capita(2017 PPP $),Inequality-adjusted life expectancy index  (Value)   2019,Inequality-adjusted income index (value) 2019,Gross domestic product (GDP per capita 2017 PPP$) 2019,GDP Annual Growth (Percentage),Employment to population ratio,Mandatory paid maternity leave,Share of seats held by women in parliament (percentage),Stock of immigrants (percentage of poplulation),Consumer price index (2010=100),Healthy life expectancy at birth (years),Total Population( in millions),Urban Population (in percentage),Population age 65 and older( in millions),Human Development Index (female value) 2019,Human Development Index (male value) 2019,Gender Development Index (value) 2019,Gender Inequality Index Rank ,GDP per capita Female,GDP per capita Male,Life expectancy at birth Female (in years),Life expectancy at birth Male (in years),Expected years of schooling female (in years),Expected years of schooling male (in years),Mean years of schooling (female years) 2019,Mean years of schooling (male years) 2019,Estimated Gross national income (GNI) per female capita (2017 PPP$)  2019,Estimated Gross national income (GNI) per male capita (2017 PPP$)  2019,Employment in agriculture (% of total) 2019,Employment in services (% of total) 2019,Exports and imports (% of GDP) 2019,Labour force female participation rate (% ages 15 and older) 2019,Labour force male participation rate (% ages 15 and older) 2019,Label
Finland,0.938,81.9,19.4,12.8,"48,511",0.924,0.835,"48,621",0.9,55.2,147,47,6.9,112,70.3,5.5,85.4,1.2,0.932,0.942,0.99,7,"40,759","56,485",84.7,79.1,20.2,18.6,13,12.6,"40,759","56,485",3.6,74.2,79.5,55.5,62.8,1
Singapore,0.938,83.6,16.4,11.6,"88,155",0.954,0.75,"97,341",-0.4,67.6,84,23,37.1,114,74.5,5.8,100,0.7,0.931,0.945,0.985,12,"71,387","1,03,421",85.7,81.5,16.7,16.3,11.2,12.1,"71,387","1,03,421",0.7,83.8,319.1,62,78.3,1
United Kingdom,0.932,81.3,17.5,13.2,"46,071",0.905,0.769,"46,699",0.8,60.4,42,29,14.1,120,69.1,67.5,83.7,12.5,0.916,0.944,0.97,31,"33,323","59,135",83,79.6,18,17,13.2,13.2,"33,323","59,135",1,81.1,64.3,57.6,68.1,1
Belgium,0.931,81.6,19.8,12.1,"52,085",0.914,0.837,"51,708",0.9,50.6,105,43,17.2,117,69.7,11.5,98,2.2,0.918,0.943,0.974,4,"41,948","62,427",83.9,79.3,20.7,18.8,11.9,12.2,"41,948","62,427",1,78.2,163.3,48.6,58.7,1
New Zealand,0.931,82.3,18.8,12.8,"40,799",0.917,0.759,"42,888",0.6,67.1,,41,22.3,114,69.6,4.8,86.6,0.8,0.912,0.946,0.964,33,"31,233","50,693",84,80.6,19.7,17.9,12.7,12.9,"31,233","50,693",5.7,74.8,55.9,64.8,75.3,1
Canada,0.929,82.4,16.2,13.4,"48,527",0.916,0.766,"49,031",0.2,61.5,105,33,21.3,117,70.4,37.4,81.5,6.6,0.922,0.935,0.986,19,"39,459","57,734",84.4,80.4,16.7,15.7,13.4,13.3,"39,459","57,734",1.5,79.1,65,60.8,69.4,1
United States,0.926,78.9,16.3,13.4,"63,826",0.848,0.711,"62,683",1.8,59.8,,24,15.4,117,65.4,329.1,82.5,53.3,0.922,0.928,0.994,46,"50,590","77,338",81.4,76.3,16.9,15.7,13.5,13.4,"50,590","77,338",1.3,78.9,26.4,56.1,68.2,1
Austria,0.922,81.5,16.1,12.5,"56,197",0.912,0.821,"56,352",1.2,57.8,112,39,19.9,118,70.6,9,58.5,1.7,0.903,0.937,0.964,14,"39,386","73,528",83.9,79.2,16.4,15.8,12.2,12.9,"39,386","73,528",3.6,71.2,107.7,55.1,66.6,1
Israel,0.919,83,16.2,13,"40,187",0.937,0.691,"40,162",1.6,61.6,105,23,23,108,71.8,8.5,92.5,1,0.904,0.929,0.973,26,"29,665","50,819",84.5,81.3,16.8,15.6,13.1,13,"29,665","50,819",0.9,82.1,58.5,59.7,68.5,1
Japan,0.919,84.6,15.2,12.9,"42,932",0.965,0.763,"41,429",0.9,60.3,98,15,2,105,73.8,126.9,91.7,35.5,0.906,0.927,0.978,24,"30,584","55,869",87.7,81.5,15.2,15.3,13.1,12.6,"30,584","55,869",3.4,72.3,36.8,52.7,71.3,1
Liechtenstein,0.919,80.7,14.9,12.5,"1,31,032",,,,,,,12,67,,,0,14.4,,,,,,,,,,13.8,16,,,,,,,,..,..,1
Slovenia,0.917,81.3,17.6,12.7,"38,080",0.916,0.82,"38,689",1.8,55.9,105,22,12.2,111,70.4,2.1,54.8,0.4,0.916,0.914,1.001,10,"33,885","42,312",84,78.6,18.3,16.8,12.6,12.7,"33,885","42,312",5.2,61.3,159.7,53.4,63.4,1
Korea (Republic of),0.916,83,16.5,12.2,"43,044",0.941,0.731,"42,661",1.8,60.4,90,17,2.3,115,72.3,51.2,81.4,7.7,0.881,0.941,0.936,11,"27,734","58,309",86,79.9,15.9,17,11.4,12.9,"27,734","58,309",4.9,70,76.7,52.9,73.1,1
Luxembourg,0.916,82.3,14.3,12.3,"72,712",0.925,0.806,"1,14,482",0.3,56.1,112,25,47.4,115,71,0.6,91.2,0.1,0.901,0.923,0.976,12,"58,642","86,488",84.3,80.2,14.3,14.2,12,12.6,"58,642","86,488",1,87.3,381.5,54.9,63.7,1
Spain,0.904,83.6,17.6,10.3,"40,975",0.949,0.732,"40,883",1.4,49.5,112,42,13.1,111,71.6,46.7,80.6,9.2,0.896,0.909,0.986,16,"32,881","49,356",86.2,80.8,18,17.2,10.2,10.3,"32,881","49,356",4.1,75.6,66.9,51.9,63.4,1
France,0.901,82.7,15.6,11.5,"47,173",0.927,0.804,"46,184",1.4,50.5,112,37,12.8,110,71.5,65.1,80.7,13.3,0.895,0.907,0.987,8,"39,478","55,375",85.5,79.7,16,15.3,11.3,11.7,"39,478","55,375",2.4,77.5,64.5,50.8,59.9,1
Czechia,0.9,79.4,16.8,12.7,"38,109",0.886,0.818,"40,314",2.2,59.4,196,21,4.8,116,68.6,10.7,73.9,2.1,0.893,0.906,0.985,36,"29,480","47,012",81.9,76.8,17.5,16.1,12.5,12.9,"29,480","47,012",2.7,60,144.9,52.9,68.5,1
